19:02:50.214 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-repository-gateway-bridge-http-server-3.6.0.zip
19:02:50.222 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - A plugin manifest has been loaded from: /opt/graviteeio-gateway/plugins/.work/gravitee-repository-gateway-bridge-http-server-3.6.0/gravitee-repository-gateway-bridge-http-server-3.6.0.jar
19:02:50.222 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-resource-oauth2-provider-generic-1.15.0.zip
19:02:50.230 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - A plugin manifest has been loaded from: /opt/graviteeio-gateway/plugins/.work/gravitee-resource-oauth2-provider-generic-1.15.0/gravitee-resource-oauth2-provider-generic-1.15.0.jar
19:02:50.231 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-gateway-services-heartbeat-3.6.0.zip
19:02:50.237 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - A plugin manifest has been loaded from: /opt/graviteeio-gateway/plugins/.work/gravitee-gateway-services-heartbeat-3.6.0/gravitee-gateway-services-heartbeat-3.6.0.jar
19:02:50.238 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-node-services-healthcheck-1.10.0.zip
19:02:50.242 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - A plugin manifest has been loaded from: /opt/graviteeio-gateway/plugins/.work/gravitee-node-services-healthcheck-1.10.0/gravitee-node-services-healthcheck-1.10.0.jar
19:02:50.243 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-policy-spikearrest-1.11.0.zip
19:02:50.330 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - A plugin manifest has been loaded from: /opt/graviteeio-gateway/plugins/.work/gravitee-policy-spikearrest-1.11.0/gravitee-policy-spikearrest-1.11.0.jar
19:02:50.332 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-policy-role-based-access-control-1.1.0.zip
19:02:50.350 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - A plugin manifest has been loaded from: /opt/graviteeio-gateway/plugins/.work/gravitee-policy-role-based-access-control-1.1.0/gravitee-policy-role-based-access-control-1.1.0.jar
19:02:50.351 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-repository-mongodb-3.6.0.zip
19:02:50.832 [vert.x-eventloop-thread-0] [] INFO  i.g.g.s.vertx.ReactorVerticle - HTTP listener ready to accept requests on port 8082
19:02:50.833 [vert.x-eventloop-thread-1] [] INFO  i.g.g.s.vertx.ReactorVerticle - HTTP listener ready to accept requests on port 8082
19:02:51.164 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - A plugin manifest has been loaded from: /opt/graviteeio-gateway/plugins/.work/gravitee-repository-mongodb-3.6.0/gravitee-repository-mongodb-3.6.0.jar
19:02:51.170 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-policy-transformqueryparams-1.6.0.zip
19:02:51.179 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - A plugin manifest has been loaded from: /opt/graviteeio-gateway/plugins/.work/gravitee-policy-transformqueryparams-1.6.0/gravitee-policy-transformqueryparams-1.6.0.jar
19:02:51.180 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-policy-rest-to-soap-1.11.0.zip
19:02:51.185 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - A plugin manifest has been loaded from: /opt/graviteeio-gateway/plugins/.work/gravitee-policy-rest-to-soap-1.11.0/gravitee-policy-rest-to-soap-1.11.0.jar
19:02:51.187 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-policy-xml-validation-1.1.0.zip
19:02:51.217 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - A plugin manifest has been loaded from: /opt/graviteeio-gateway/plugins/.work/gravitee-policy-xml-validation-1.1.0/gravitee-policy-xml-validation-1.1.0.jar
19:02:51.218 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-service-discovery-consul-1.2.0.zip
19:02:51.241 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - A plugin manifest has been loaded from: /opt/graviteeio-gateway/plugins/.work/gravitee-service-discovery-consul-1.2.0/gravitee-service-discovery-consul-1.2.0.jar
19:02:51.244 [graviteeio-node] [] INFO  i.g.p.c.internal.PluginRegistryImpl - Loading plugin from /opt/graviteeio-gateway/plugins/gravitee-gateway-services-endpoint-discovery-3.6.0.zip
